Date,Total Transactions,Unique Holders (Cumulative),Volume (USD),Average Transfer Value (USD),Whale Activity (Count)
2025-10-01,253,4,0.0,0.0,0
2025-10-02,331,6,0.0,0.0,0
2025-10-03,214,13,0.0,0.0,0
2025-10-04,142,15,0.0,0.0,0
2025-10-05,151,23,0.0,0.0,0
2025-10-06,125,25,0.0,0.0,0
2025-10-07,165,28,0.0,0.0,0
2025-10-08,219,31,0.0,0.0,0
2025-10-09,311,33,0.0,0.0,0
2025-10-10,176,37,0.0,0.0,0
2025-10-11,146,39,0.0,0.0,0
2025-10-12,274,41,0.0,0.0,0
2025-10-13,327,43,0.0,0.0,0
2025-10-14,137,47,0.0,0.0,0
2025-10-15,92,50,0.0,0.0,0
2025-10-16,205,52,0.0,0.0,0
2025-10-17,201,56,0.0,0.0,0
2025-10-18,175,59,0.0,0.0,0
2025-10-19,193,61,0.0,0.0,0
2025-10-20,180,65,0.0,0.0,0
2025-10-21,170,68,0.0,0.0,0
2025-10-22,188,71,0.0,0.0,0
2025-10-23,179,73,0.0,0.0,0
